pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank
"Grounds, Jackson",805984.0,DOW_EAS1,Curveball,82,19,8,23,29,7,17,10,0,0,0,646.25152,0.1039384191036598,0.4210526315789473,0.2804878048780488,0.2413793103448276,0.4117647058823529,64.625152,0.0,0.0,0.0,1.6036177896555697,-0.005218172287539223,0.02960244242593379,-0.0008684172510071938,0.596683708236477,0.008663847443593645,1.7759368129157784,0.07756048843047078,-4.001090844969937,2.356642507687293,-1.96977024913211,0.47080857563680956,-0.701806877583555,-0.03449450984010931,-3.15139947206592,0.957417219409931,3.8305115392294424,80.0,100.0,1,1
"Grounds, Jackson",805984.0,DOW_EAS1,Fastball,52,24,6,13,13,4,13,15,2,1,3,968.40388,0.1506084470544614,0.25,0.25,0.3076923076923077,0.3076923076923077,64.56025866666667,0.1333333333333333,0.0666666666666666,0.2,0.11716611880258532,-0.0003812585505836126,-0.45415178616511437,0.013322996798939796,1.2744592295290247,0.018505148012761437,0.9222275383704147,0.04027644328325112,-4.0181752525033385,2.366705223724466,-0.4944933568164735,0.11819231866620306,1.3851480308640147,0.0680814108649972,-1.1569199643660733,0.3514803836141636,2.9761826664141986,80.0,99.83249581239531,2,1
"Carroll, Jake",1000088275.0,JOL_SLA,Slider,56,23,6,13,17,4,13,11,0,0,2,755.35123,0.2039052418260956,0.2608695652173913,0.2321428571428571,0.2352941176470588,0.3076923076923077,68.66829363636363,0.0,0.0,0.1818181818181818,0.21162291394040036,-0.0006886209619620628,-0.7374935486255859,0.021635110742480188,0.5344878368708075,0.007760763391364125,0.9222275383704147,0.04027644328325112,-2.9366567053936388,1.7296907994768531,-1.96977024913211,0.47080857563680956,-0.701806877583555,-0.03449450984010931,-1.3382362832478778,0.406565550504688,2.6415541122333748,79.7820095677824,99.66499162479062,3,1
"Harper, Scott",1000241275.0,NEW_YOR13,Slider,114,42,18,49,38,10,27,20,0,0,2,1430.82016,0.1332395495428222,0.4285714285714285,0.4298245614035088,0.2631578947368421,0.3703703703703703,71.541008,0.0,0.0,0.1,1.6689563246381185,-0.005430783880372437,2.39914947089296,-0.07038144887811588,0.8192794583872923,0.011895937735783485,1.4363777294814706,0.06273092457964426,-2.1803598657271626,1.2842319609132986,-1.96977024913211,0.47080857563680956,-0.701806877583555,-0.03449450984010931,-2.154159718215997,0.6544488015120473,2.3738094577789854,76.76334194944563,99.49748743718592,4,2
"Escobar, Anthony",678673.0,TRO_AIG,Changeup,82,42,14,17,31,6,20,23,1,0,3,1630.09381,0.1228656937625018,0.3333333333333333,0.2073170731707317,0.1935483870967742,0.3,70.87364391304348,0.0434782608695652,0.0,0.1304347826086956,0.8413348815258344,-0.002737703704485065,-1.1314077061925814,0.03319097646886557,0.10781078384611029,0.0015654125814455213,0.8591272876431485,0.03752066603323922,-2.3560561884319458,1.387717094986416,-1.4887016972900549,0.3558250135811771,-0.701806877583555,-0.03449450984010931,-1.8506519670442816,0.562241022151822,2.340827972258371,76.39149459156428,99.32998324958125,5,1
"Ryan, Dillon",1000132418.0,NEW_ENG23,Slider,93,38,13,30,35,9,23,18,0,0,2,1303.91183,0.1535704804828149,0.3421052631578947,0.3225806451612903,0.2571428571428571,0.391304347826087,72.43954611111111,0.0,0.0,0.1111111111111111,0.9175631723388077,-0.00298575056279048,0.6974953773838959,-0.02046172439093397,0.7578006321551622,0.011003265178892956,1.608099828884176,0.07023054382685862,-1.943802572612575,1.1448997152688065,-1.96977024913211,0.47080857563680956,-0.701806877583555,-0.03449450984010931,-2.043355301121561,0.6207856439678381,2.2597857590853723,75.47779005795854,99.16247906197655,6,3
"Webster, Evan",804248.0,FLO_Y'A,Cutter,99,43,12,31,22,6,23,24,2,1,3,1713.87365,0.1364701407377817,0.2790697674418604,0.3131313131313131,0.2727272727272727,0.2608695652173913,71.41140208333333,0.0833333333333333,0.0416666666666666,0.125,0.36978312905488103,-0.0012032743019445829,0.5475615154628122,-0.01606326461761706,0.9170866819384083,0.013316098621745688,0.5381390556827083,0.023502146978830917,-2.214481094909519,1.3043293649017067,-1.0477221914348374,0.2504234150301805,0.6025399401961754,0.02961544060058222,-1.904849779753516,0.5787066970375764,2.1826266242510606,74.607865008445,98.99497487437185,7,1
"Vitas, Ben",1000076969.0,JOL_SLA,Splitter,59,23,9,15,27,8,19,10,1,0,0,738.7632,0.1706718036037681,0.391304347826087,0.2542372881355932,0.2962962962962963,0.4210526315789473,73.87631999999999,0.1,0.0,0.0,1.3451044555941818,-0.0043769698985034675,-0.38691814761517235,0.011350630778438696,1.1579822510550457,0.016813902285319263,1.8521259701406503,0.08088789749395262,-1.5655444466962607,0.9221056791040975,-0.8633125798953823,0.2063463829088546,-0.701806877583555,-0.03449450984010931,-3.15139947206592,0.957417219409931,2.156050232241981,74.3082314111524,98.82747068676717,8,1
"McEvoy, Aidan",1000079355.0,FLO_Y'A,Slider,78,37,17,25,37,9,24,20,1,0,2,1452.84594,0.1417599955942733,0.4594594594594595,0.3205128205128205,0.2432432432432432,0.375,72.642297,0.05,0.0,0.1,1.9373740899718335,-0.006304215288768346,0.6646849168839238,-0.01949919672170679,0.6157346958619967,0.008940467783916191,1.4743547322339925,0.06438949422085515,-1.8904245345983357,1.1134600508784196,-1.4165414145137465,0.33857747927283216,-0.701806877583555,-0.03449450984010931,-2.154159718215997,0.6544488015120473,2.1195183718174864,73.89635560983812,98.65996649916248,9,4
"Alpern, Liam",1000137537.0,FLO_Y'A,Slider,78,21,3,22,23,5,14,16,2,0,3,1118.83708,0.1125919308725315,0.1428571428571428,0.282051282051282,0.217391304347826,0.3571428571428571,69.9273175,0.125,0.0,0.1875,-0.8139080046987356,0.0026484566472896854,0.0544103515844477,-0.0015961820740813578,0.35150578053412834,0.005103863933355543,1.32787200733141,0.05799215417618467,-2.6051946633660616,1.5344596567226103,-0.5866981625862004,0.14023083472686587,-0.701806877583555,-0.03449450984010931,-1.2815749335973137,0.3893514358513991,2.0936957101435145,73.60521989034697,98.49246231155779,10,5
