pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,raw_pitch_score_20_80,raw_pitch_score_0_100,split_batted_ball_count,split_terminal_pa_count,split_strikeout_count,split_groundball_count,split_line_drive_count,split_flyball_count,k_pct,groundball_pct,line_drive_pct,flyball_pct,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank,location_score_20_80,location_score_0_100,final_pitch_score_20_80,final_pitch_score_0_100,overall_rank,pitch_type_rank,pitch_type_batter_side_rank,platoon_gap,better_side,platoon_category,IVB,HB,velocity,spin_rate,extension,release_height,release_side,movement_quality_20_80,movement_quality_0_100,archetype,cluster,stuff_plus_raw,stuff_plus_20_80,stuff_plus_0_100,execution_raw,execution_plus_20_80,execution_plus_0_100,quadrant_label
"Ryan, Dillon",1000132418.0,NEW_ENG23,Slider,R,61,25,79.90619173116114,99.66254218222724,14,15,4,6,3,5,0.2666666666666666,0.4285714285714285,0.2142857142857142,0.3571428571428571,52.68693126224479,64.16824794433903,548,57,54.80335099108285,73.33965844402277,417,78,48.69701114120553,41.998734977862114,905,110,53.6360814604251,65.14864010120178,545,57,72.22254998017253,97.12865819988956,77.60109920586456,100.0,1,1,1,6.179071348424657,RHH,Right-Handed Killer,-2.01103968,-8.11029016,85.42472872,2493.8227768,5.81927264,4.58534544,1.91527248,59.8875140607424,66.47919010123734,Tight High-Spin Breakers,1,53.84116672462503,64.93822373877407,92.37824161922832,23.759932481239524,80.0,100.0,Elite Weapon
"Vecerka, Boris",807828.0,QUE_CAP,Slider,R,62,18,80.0,99.8875140607424,11,12,6,6,1,4,0.5,0.5454545454545454,0.0909090909090909,0.3636363636363636,60.04373144082977,85.26249209361164,230,23,70.87343426703885,96.01518026565464,57,12,60.32142429083129,86.36938646426312,209,27,53.21832742726197,63.37760910815939,571,63,60.899653717951054,85.97459966869133,74.26989611538531,99.93674889310564,2,2,2,,,,2.424770120481928,-11.770099156626506,82.49418361445784,2471.718618072289,5.644459397590362,4.83581265060241,2.840886506024096,69.13385826771653,81.88976377952756,Tight High-Spin Breakers,1,55.40661264657548,70.58524157211417,96.9639468690702,18.863283468809826,76.76785608659858,99.24098671726756,Elite Weapon
"Kirby, Zach",813716.0,WAS_WIL3,Slider,R,126,42,71.64527011091408,97.52530933633297,42,29,4,11,6,25,0.1379310344827586,0.2619047619047619,0.1428571428571428,0.5952380952380952,42.19667915574399,23.37128399746996,1212,149,45.9370981491761,40.2909550917141,943,144,55.42693454362045,73.24478178368122,400,51,38.31843357777674,12.270714737507909,1388,162,80.0,99.2821645499724,74.15168907763986,99.87349778621126,3,3,3,,,,5.775077874015748,-13.35486874015748,77.95873236220473,2204.134622047244,5.682268267716535,6.0299599212598425,2.182132125984252,76.62542182227222,94.37570303712036,Tight High-Spin Breakers,1,55.56623344164344,71.16104011212227,97.15370018975332,18.58545563599641,76.37360577180596,99.1777356103732,Elite Weapon
"Bargo, Casey",1000492781.0,NEW_ENG23,Slider,R,29,16,73.49540292614478,98.20022497187853,8,2,1,3,2,3,0.5,0.375,0.25,0.375,49.31506451372668,50.03162555344719,778,100,70.87343426703885,96.01518026565464,49,5,45.33204943999807,28.55787476280835,1093,128,52.48725786922648,60.78431372549019,606,67,74.97651887579573,98.01214798453891,73.93973771104007,99.81024667931688,4,4,4,11.038956797597102,RHH,Right-Handed Killer,1.4834028571428572,-4.979310535714285,83.56961232142858,2415.5824839285715,5.66463625,5.811873571428571,2.415990178571428,62.85714285714285,71.42857142857143,Tight High-Spin Breakers,1,53.14779603277173,62.43703439258922,89.0259329538267,20.791941678268337,79.50470969304442,99.62049335863378,Elite Weapon
"Grounds, Jackson",805984.0,DOW_EAS1,Curveball,R,43,10,80.0,100.0,5,6,2,3,0,2,0.3333333333333333,0.6,0.0,0.4,63.47690485750276,90.86021505376344,136,15,59.39480335564171,83.39658444022771,247,28,68.88678134845027,96.39468690702088,27,3,50.8789048415484,54.71220746363061,694,67,57.5902830037981,79.45886250690226,73.27708490113943,99.74699557242252,5,1,1,4.3018029768365125,RHH,Balanced Weapon,-10.500080243902438,-12.01293524390244,81.40860719512196,1945.774660975609,5.351570975609756,6.060410609756097,2.076265,60.3599550056243,67.2665916760405,Tight High-Spin Breakers,1,51.4204876515909,56.20613168593237,76.69196710942443,21.85659724954853,80.0,99.87349778621126,Elite Weapon
"Grounds, Jackson",805984.0,DOW_EAS1,Four-Seam,R,48,27,74.30395764755804,98.76265466816648,14,15,4,5,3,6,0.2666666666666666,0.3571428571428571,0.2142857142857142,0.4285714285714285,48.1911089308873,45.85705249841872,853,71,54.80335099108285,73.33965844402277,418,42,48.69701114120553,41.998734977862114,906,148,49.0407870956306,47.34345351043643,820,70,66.953935914113,93.87078961899503,72.09895112752451,99.68374446552816,6,1,1,4.24113819860176,RHH,Balanced Weapon,17.0341461682243,14.240285607476636,92.4652793457944,2162.7614570093456,5.590913457943926,6.146667102803739,1.9688526168224296,22.362204724409448,3.937007874015748,Soft-Speed Separation,0,49.63670949610437,49.77152611220255,50.94876660341557,22.46224163142014,80.0,99.93674889310564,Command/Deception Weapon
"Harper, Scott",1000241275.0,NEW_YOR13,Slider,R,169,34,73.6482431682774,98.4251968503937,25,39,17,6,3,16,0.4358974358974359,0.24,0.12,0.64,40.81796030746103,18.848829854522453,1283,155,66.45857622419379,92.40986717267552,121,22,57.58051003239322,80.29728020240354,312,39,35.438715775838844,7.020872865275142,1471,169,68.33850475037423,94.97515184980674,72.05532164290645,99.62049335863378,7,5,5,5.26014417513376,RHH,Right-Handed Killer,3.311756313364055,-16.69923728110599,79.79862198156682,2668.513039170507,5.581526175115208,4.15933797235023,1.8798227649769583,77.50281214848144,95.83802024746907,Tight High-Spin Breakers,1,58.24762382824515,80.0,99.7786211258697,13.807697814661296,69.59375039882255,97.09044908285895,Elite Weapon
"Zentko, Dylan",1000303828.0,EVA_OTT,Changeup,R,57,13,78.49227050914526,99.55005624296965,11,12,4,7,1,3,0.3333333333333333,0.6363636363636364,0.0909090909090909,0.2727272727272727,65.76568713528475,93.3270082226439,104,9,59.39480335564171,83.39658444022771,249,11,60.32142429083129,86.36938646426312,214,18,59.066883891545885,81.37254901960785,290,28,56.35719723046052,76.20099392600773,71.85174852553983,99.5572422517394,8,1,1,,,,7.292533731343283,-11.416610746268656,78.82124104477612,1310.721452238806,5.821523582089553,5.6739347761194034,-1.3377485074626865,64.74690663667042,74.57817772778402,Tight High-Spin Breakers,1,51.558020648962085,56.70225312835187,77.60910815939279,20.293727876577748,78.79772167761953,99.49399114484504,Elite Weapon
"Alpern, Liam",1000137537.0,FLO_Y'A,Slider,L,38,16,76.31471363980256,99.21259842519686,8,7,2,3,1,4,0.2857142857142857,0.375,0.125,0.5,49.31506451372668,50.03162555344719,781,77,56.11519452381396,76.85009487666035,361,64,57.10941539422417,78.4629981024668,325,41,44.44549273083609,29.22201138519924,1095,99,59.51220107724665,83.48978464936499,71.27395987103579,99.43074003795066,10,7,2,-6.531412076712371,LHH,Reverse Split Weapon,-4.042234102564103,11.5085708974359,76.82941141025641,2219.105,5.546514358974359,4.826601153846154,-2.125199871794872,69.47131608548932,82.45219347581553,Tight High-Spin Breakers,1,52.02976427734657,58.40396932620855,81.8785578747628,19.244195593689213,77.3083876943259,99.36748893105629,Elite Weapon
"Davis, Tyler",824623.0,WIN_CIT29,Four-Seam,R,33,19,74.25872532778591,98.65016872890888,11,10,0,3,0,8,0.0,0.2727272727272727,0.0,0.7272727272727273,42.877864357464816,25.553447185325744,1171,154,36.43754153284743,5.534471853257432,1419,234,68.88678134845027,96.39468690702088,15,5,29.82410157012628,1.9924098671726755,1550,252,63.90731766207713,90.88901159580342,71.15330302807328,99.36748893105629,11,2,2,4.735899778633595,RHH,Balanced Weapon,21.23184789473684,5.648621842105263,89.31716763157894,2170.9824881578947,5.858615394736842,6.558214736842106,0.4845959210526316,39.910011248593925,33.18335208098988,Soft-Speed Separation,0,50.551014479765264,53.06968957824672,68.34282099936749,20.602288548308017,79.23558328684133,99.5572422517394,Elite Weapon
"Peyton, Blake",1000017005.0,GAT_GRI,Changeup,R,90,20,77.21377860251971,99.32508436445444,19,25,4,13,2,4,0.16,0.6842105263157895,0.1052631578947368,0.2105263157894736,68.77724276394527,95.6989247311828,69,6,47.45702720778869,46.67931688804554,843,50,58.96899949225988,83.55471220746364,259,26,63.068527788161205,90.63883617963316,147,12,56.30065080873908,75.98012147984538,70.93984026438551,99.30423782416192,12,2,2,,,,10.314157311827955,-13.23058612903226,81.01877666666667,1927.29296344086,6.101144838709677,5.869226129032258,-2.463598924731183,69.67379077615298,82.7896512935883,Tight High-Spin Breakers,1,49.33471640277789,48.682149366798654,45.35104364326376,21.605123861607616,80.0,99.81024667931688,Command/Deception Weapon
"Bauer, Patrick",10998513.0,QUE_CAP,Slider,R,45,11,74.40228915662985,98.87514060742409,9,8,2,2,1,6,0.25,0.2222222222222222,0.1111111111111111,0.6666666666666666,39.6990000827676,15.180265654648956,1329,161,53.65548789994314,69.57621758380772,459,90,58.418011611360406,82.28969006957621,270,36,33.72313921298223,4.648956356736242,1497,174,62.83943035836083,89.8398674765323,70.93343151714915,99.24098671726756,13,8,6,,,,0.0604472549019607,-10.573643333333331,77.64864431372548,2374.7101254901963,5.996632549019608,6.589423921568627,2.166610392156863,77.36782902137233,95.61304836895388,Tight High-Spin Breakers,1,56.2466935944353,73.61565739644556,98.16571790006326,14.686737922713846,70.84114824160031,97.65970904490828,Elite Weapon
