pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,groundball_count,line_drive_count,flyball_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,groundball_pct,line_drive_pct,flyball_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank,groundball_score_raw,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_raw,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_raw,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_raw,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank
"Peyton, Blake",1000017005.0,GAT_GRI,Changeup,108,42,16,26,29,4,27,21,2,0,5,13,4,4,1506.36757,0.1590087702950391,0.3809523809523809,0.2407407407407407,0.1379310344827586,0.1481481481481481,71.73178904761906,0.0952380952380952,0.0,0.238095238095238,0.6190476190476191,0.1904761904761904,0.1904761904761904,1.2697588632831829,-0.0041317953411234,-0.4939863435954311,0.0144915833757155,-0.4275461768252247,-0.0062079704875022,-0.402941673360785,-0.0175976717006855,-2.3039120396411903,1.357004191348661,-1.005934573176316,0.2404354638768835,-0.7899745622159384,-0.0388280397074755,-0.8953662286374559,0.2720185278236595,1.817184289188133,70.7734736742062,97.40518962075848,27,1,1.8944716131633696,68.9447161316337,96.10778443113772,40,12,-0.402941673360785,45.97058326639215,40.5189620758483,597,92,0.1334893262964222,51.33489326296422,54.690618762475054,458,80,1.873602367582072,68.73602367582072,96.9560878243513,32,10
"Good, Ty",688612.0,GAT_GRI,Changeup,73,24,13,25,18,6,10,10,0,0,2,6,1,3,750.01916,0.2442102662294003,0.5416666666666666,0.3424657534246575,0.3333333333333333,0.6,75.00191600000001,0.0,0.0,0.2,0.6,0.1,0.3,2.723891464358771,-0.0088635428250234,1.1421204163086478,-0.0335052445328304,1.859689152653582,0.02700268649653,3.203932402263386,0.1399253398040488,-1.345006174547441,0.7922086368084428,-2.221783778011781,0.531044093269042,-0.7899745622159384,-0.0388280397074755,-1.3237741589832883,0.4021718559182358,1.8111557852309697,70.70455773156127,97.2055888223553,29,2,1.74346052093659,67.4346052093659,95.00998003992017,53,14,3.203932402263386,80.0,99.35129740518964,8,1,1.2990230815997517,62.99023081599752,91.51696606786427,86,15,0.9759263935888756,59.759263935888754,83.88223552894212,159,41
"Perdomo, Rafael",1000557553.0,QUE_CAP,Changeup,55,24,8,16,15,2,12,14,3,1,4,5,2,7,982.38241,0.1855950930301004,0.3333333333333333,0.2909090909090909,0.1333333333333333,0.1666666666666666,70.17017214285714,0.2142857142857142,0.0714285714285714,0.2857142857142857,0.3571428571428571,0.1428571428571428,0.5,0.8389047592607867,-0.0027297960866345,0.3129024901146877,-0.0091793074500044,-0.4813634786953143,-0.0069893977106559,-0.2551189653434011,-0.0111418105734423,-2.761828087186524,1.6267167433528626,0.5138769328680157,-0.1228253228633145,1.7703013889821857,0.0870120835698634,-0.3598563157051629,0.1093268677054384,1.6701900599441126,69.09308232940478,96.40718562874252,37,3,-0.1819309049548506,48.18069095045149,46.007984031936125,542,121,-0.2551189653434011,47.44881034656599,47.70459081836327,531,77,0.7469281448771223,57.46928144877123,80.58882235528942,197,42,-0.6633079937030477,43.36692006296953,26.147704590818364,755,137
"Rodriguez, Joe Joe",689487.0,NEW_JER6,Changeup,187,92,50,67,75,18,41,31,2,1,6,17,3,11,2315.39087,0.1686207147209135,0.5434782608695652,0.3582887700534759,0.24,0.4390243902439024,74.69002806451614,0.064516129032258,0.032258064516129,0.1935483870967742,0.5483870967741935,0.0967741935483871,0.3548387096774194,2.740282653098754,-0.0089168797531833,1.3966118514576893,-0.0409710052743627,0.7671979246907639,0.0111397138665098,1.9189564720830032,0.083806586005281,-1.436461697511071,0.8460759398340207,-1.398143994090983,0.3341801830356445,0.3662790931638587,0.0180029837080968,-1.396327114928954,0.4242139518052207,1.6675314732272275,69.06269021039824,96.30738522954093,38,4,1.334269174257574,63.34269174257574,90.6686626746507,94,27,1.9189564720830032,69.18956472083003,95.10978043912176,50,6,1.3405786144713476,63.405786144713474,92.21556886227546,79,14,0.5264589002991545,55.26458900299154,70.60878243512974,295,72
"Lawson, Nathan",1000569348.0,FLO_Y'A,Changeup,107,51,15,25,51,10,32,31,2,0,6,14,3,14,2309.70183,0.1955936022800878,0.2941176470588235,0.2336448598130841,0.196078431372549,0.3125,74.50651064516128,0.064516129032258,0.0,0.1935483870967742,0.4516129032258064,0.0967741935483871,0.4516129032258064,0.4840837324188128,-0.0015752084652908,-0.6081138177230299,0.0178396269567228,0.2530844056494374,0.0036747855700298,0.9089848602934988,0.0396980958035979,-1.4902748773443844,0.8777719027558424,-1.398143994090983,0.3341801830356445,-0.7899745622159384,-0.0388280397074755,-1.396327114928954,0.4242139518052207,1.656975297754292,68.94201536492878,96.10778443113772,40,5,0.5670353992344191,55.67035399234419,72.55489021956087,276,70,0.9089848602934988,59.089848602934985,83.53293413173652,167,17,1.3405786144713476,63.405786144713474,92.21556886227546,78,13,-0.2667190290356463,47.332809709643534,40.768463073852296,593,121
"Parsons, Billy",698892.0,SUS_COU1,Changeup,62,32,9,16,31,7,17,17,1,0,4,14,1,2,1261.81983,0.232861434539908,0.28125,0.2580645161290322,0.2258064516129032,0.4117647058823529,74.22469588235293,0.0588235294117647,0.0,0.2352941176470588,0.8235294117647058,0.0588235294117647,0.1176470588235294,0.3676580829862907,-0.0011963594020373,-0.2153572702532277,0.0063177208801486,0.6010587056918096,0.008727372406645,1.701358052533741,0.074303410228306,-1.5729119837509655,0.9264451584293186,-1.4708180926722292,0.3515505280562382,-0.7899745622159384,-0.0388280397074755,-0.9268668117511194,0.2815886254776723,1.608908416368816,68.39253004249707,95.60878243512974,45,6,3.515620103244974,80.0,99.9001996007984,2,1,1.701358052533741,67.0135805253374,92.81437125748504,74,8,1.829467236490122,68.29467236490122,97.0059880239521,33,6,2.4705224525903358,74.70522452590336,98.95209580838323,12,2
"Escobar, Anthony",678673.0,TRO_AIG,Changeup,195,92,40,54,66,17,54,46,6,1,7,19,4,23,3448.9508,0.1690263624799795,0.4347826086956521,0.2769230769230769,0.2575757575757575,0.3148148148148148,74.97719130434783,0.1304347826086956,0.0217391304347826,0.1521739130434782,0.4130434782608695,0.0869565217391304,0.5,1.7568113286998048,-0.0057166640635891,0.0879567130349434,-0.0025802981335931,0.972926792294151,0.014126897024111,0.9274626987956718,0.0405050784445033,-1.3522562464922852,0.7964789291839559,-0.5565989974762527,0.1330366225797815,-0.0107601422860745,-0.0005288717535028,-1.861612375884852,0.5655708710804492,1.540892564362116,67.61499442351968,94.91017964071855,52,7,0.2612538222324373,52.612538222324375,63.27345309381237,369,88,0.9274626987956718,59.27462698795672,83.93213572854292,162,15,1.4670519753849005,64.670519753849,93.7125748502994,64,11,-0.6633079937030477,43.36692006296953,26.147704590818364,732,134
"Wiltse, Ryan",813813.0,EVA_OTT,Changeup,202,104,36,50,78,17,58,56,3,1,17,27,12,17,4112.8361,0.1904206773878325,0.3461538461538461,0.2475247524752475,0.2179487179487179,0.293103448275862,73.44350178571428,0.0535714285714285,0.0178571428571428,0.3035714285714285,0.4821428571428571,0.2142857142857142,0.3035714285714285,0.95490394111297,-0.0031072574243816,-0.3848748560148547,0.0112906887760517,0.5090818653369107,0.0073918686846919,0.7541533169821864,0.032936137812563,-1.8019830907604395,1.061368040457899,-1.537868600291833,0.367576739235953,-0.1499055744164091,-0.0073680088881409,-0.159040098355554,0.0483174951611058,1.518405703815742,67.35793177535845,94.71057884231536,54,8,0.8090793877833906,58.0907938778339,78.54291417165669,216,55,0.7541533169821864,57.54153316982186,79.94011976047905,202,23,-0.1732300829939275,48.26769917006072,40.5189620758483,604,97,0.9466543509586632,59.46654350958664,82.83433133732535,173,43
"O'Hanlon, Michael",1000061333.0,WAS_WIL3,Changeup,66,35,20,24,32,11,19,11,2,0,3,4,2,5,796.66041,0.1741562043562432,0.5714285714285714,0.3636363636363636,0.34375,0.5789473684210527,72.42367363636363,0.1818181818181818,0.0,0.2727272727272727,0.3636363636363636,0.1818181818181818,0.4545454545454545,2.993175279372769,-0.0097397923590789,1.4826205309293556,-0.0434941558953435,1.981618977203004,0.0287731075489876,3.0358813236752025,0.1325860450488671,-2.101029338212094,1.2375062802069232,0.0993828857650168,-0.023754199206897,-0.7899745622159384,-0.0388280397074755,-0.5059044737776063,0.1536973204649532,1.436746566100936,66.42443044713886,94.01197604790418,61,9,-0.1304498507866302,48.695501492133694,47.90419161676647,523,118,3.0358813236752025,80.0,99.00199600798403,11,2,0.245023656947458,52.45023656947458,59.03193612774451,413,68,-0.2907547238639736,47.09245276136026,39.920159680638726,603,124
"Messina, Chris",10179238.0,FDU_KNI,Changeup,68,24,4,16,19,1,17,16,1,0,3,10,1,5,1205.06358,0.2532307771166656,0.1666666666666666,0.2352941176470588,0.0526315789473684,0.0588235294117647,75.31647375,0.0625,0.0,0.1875,0.625,0.0625,0.3125,-0.6690846048176015,0.0021772013040764,-0.5815877763906472,0.017061459008196,-1.4259987509939918,-0.0207055018644327,-1.1159688532093432,-0.0487377077262116,-1.2527677765347676,0.737880220378978,-1.423882737338507,0.3403321802304379,-0.7899745622159384,-0.0388280397074755,-1.4643455111280153,0.4448784166992689,1.4340582283228374,66.39369822344918,93.812375249501,63,10,1.941662579484238,69.41662579484239,96.45708582834332,39,11,-1.1159688532093432,38.84031146790657,9.73053892215569,904,129,1.7821061512320533,67.82106151232054,96.50698602794412,37,7,0.8734742443831304,58.7347424438313,80.98802395209582,191,48
