pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,groundball_count,line_drive_count,flyball_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,groundball_pct,line_drive_pct,flyball_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank,groundball_score_raw,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_raw,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_raw,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_raw,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank,pitcher_id_key,ivb,hb,spin_rate,velocity,extension,release_height,release_side,cluster,movement_predicted_pvs,archetype,cluster_rank,movement_quality_0_100,archetype_pitch_value_rank
"Grounds, Jackson",805984.0,DOW_EAS1,Curveball,82,19,8,23,29,7,17,10,0,0,0,5,0,5,646.25152,0.1096871655556256,0.4210526315789473,0.2804878048780488,0.2413793103448276,0.4117647058823529,64.625152,0.0,0.0,0.0,0.5,0.0,0.5,1.5834267854014927,-0.0051524707596964,0.0636463540479853,-0.0018671294423516,0.6659881212039618,0.0096701475198815,1.686607354079265,0.0736592029747037,-4.329088047724751,2.5498328601098783,-2.1175885054413475,0.5061396518050746,-0.7535608244918718,-0.0370382680845999,-3.4260749407614663,1.0408655495279189,4.136109543650809,80.0,100.0,1,1,0.875493503371554,58.75493503371554,80.1747311827957,143,31,1.686607354079265,66.86607354079266,91.93548387096774,60,18,2.573469884750602,75.73469884750602,99.26075268817203,6,2,-0.6724866437519181,43.27513356248082,27.1505376344086,537,64,805984,-10.500080243902438,-12.01293524390244,1945.7746609756095,81.40860719512196,5.351570975609756,6.060410609756097,2.076265,3,50.04891113609429,Tight High-Spin Breakers,1,62.096774193548384,1
"Morgan, Cooper",692707.0,QUE_CAP,Curveball,51,26,8,12,24,5,12,15,1,1,6,5,3,7,916.63964,0.1185826317895145,0.3076923076923077,0.2352941176470588,0.2083333333333333,0.4166666666666667,61.109309333333336,0.0666666666666666,0.0666666666666666,0.4,0.3333333333333333,0.2,0.4666666666666667,0.5633627824621464,-0.0018331824941318,-0.6793959500378772,0.0199307595903111,0.3031731963762229,0.0044020748113827,1.7257184922531628,0.0753673037121723,-5.345498586575795,3.148498667493143,-1.3114490063222772,0.3134586071441317,1.47993870400668,0.0727404672406323,0.954476310130586,-0.2899765843518428,3.342588113145799,80.0,99.86559139784946,2,2,-0.4011444267449627,45.98855573255037,37.43279569892473,468,61,1.7257184922531628,67.25718492253162,92.74193548387096,54,16,-0.0195929038051112,49.80407096194889,46.90860215053764,401,43,-0.4062356212609465,45.937643787390535,35.215053763440864,483,60,692707,-1.0346180392156863,16.78828568627451,2657.0229784313724,75.57898745098039,5.260418823529412,4.807649215686275,-4.26667705882353,3,54.06913153958679,Tight High-Spin Breakers,1,96.7741935483871,2
"Vecerka, Boris",807828.0,QUE_CAP,Slider,61,17,6,19,17,6,13,10,0,0,2,4,2,4,678.47421,0.1093737703834606,0.3529411764705882,0.3114754098360656,0.3529411764705882,0.4615384615384615,67.847421,0.0,0.0,0.2,0.4,0.2,0.4,0.9705311869967592,-0.0031581084824874,0.5731224069405808,-0.0168131189300088,1.8908364607758648,0.0274549454104655,2.08373583399884,0.0910029950782313,-3.397548021299692,2.0011557845455186,-2.1175885054413475,0.5061396518050746,-0.7535608244918718,-0.0370382680845999,-1.2357993153154403,0.375444482588038,2.944188363930232,80.0,99.73118279569891,3,1,0.1095107453016441,51.09510745301644,57.66129032258065,323,73,2.08373583399884,70.8373583399884,96.3037634408602,29,11,-0.0195929038051112,49.80407096194889,46.90860215053764,409,97,0.1262664237209965,51.26266423720997,55.51075268817204,341,73,807828,2.456283114754098,-11.820105737704916,2496.152949180328,82.9846080327869,5.6485701639344255,4.882090163934427,2.73322131147541,3,51.62126457783017,Tight High-Spin Breakers,1,77.28494623655914,3
"Carroll, Jake",1000088275.0,JOL_SLA,Slider,62,24,6,14,17,4,14,11,0,0,2,5,2,4,755.35123,0.2079516872012189,0.25,0.2258064516129032,0.2352941176470588,0.2857142857142857,68.66829363636363,0.0,0.0,0.1818181818181818,0.4545454545454545,0.1818181818181818,0.3636363636363636,0.0442230666805142,-0.0001439018589783,-0.8353853738347043,0.0245068653268148,0.5991782117727665,0.0087000676349405,0.6808923724647574,0.0297366125826533,-3.1602383127155287,1.8613803661894464,-2.1175885054413475,0.5061396518050746,-0.7535608244918718,-0.0370382680845999,-1.4349152812650794,0.4359373068552999,2.829218700450651,80.0,99.59677419354838,4,2,0.5273195224306853,55.27319522430685,71.9758064516129,207,42,0.6808923724647574,56.80892372464757,78.15860215053763,158,62,0.2161400769726813,52.16140076972681,57.795698924731184,309,76,0.4167220846202388,54.16722084620239,67.00268817204301,241,50,1000088275,-6.216573387096775,7.841985483870967,2032.7843403225809,75.24921435483871,6.0965925806451615,6.229637903225807,-1.9229637096774197,3,53.28968952144686,Tight High-Spin Breakers,1,91.93548387096774,4
"Ryan, Dillon",1000132418.0,NEW_ENG23,Slider,113,46,16,36,44,10,26,22,0,0,4,11,3,8,1543.34618,0.1494691558128779,0.3478260869565217,0.3185840707964602,0.2272727272727272,0.3846153846153846,70.15209909090909,0.0,0.0,0.1818181818181818,0.5,0.1363636363636363,0.3636363636363636,0.9245034543102376,-0.0030083342403255,0.6899979296652422,-0.0202417792646595,0.5111106038861913,0.0074213259684274,1.4699918195776789,0.0641989527364159,-2.7312784175804774,1.6087229879549012,-2.1175885054413475,0.5061396518050746,-0.7535608244918718,-0.0370382680845999,-1.4349152812650794,0.4359373068552999,2.562131843730534,79.2497765353483,99.46236559139786,5,3,0.875493503371554,58.75493503371554,80.1747311827957,156,29,1.4699918195776789,64.69991819577679,89.98655913978494,76,29,0.805472528917162,58.05472528917162,82.93010752688173,130,35,0.4167220846202388,54.16722084620239,67.00268817204301,251,52,1000132418,-2.215829115044248,-8.520570530973451,2495.287846017699,85.37649053097346,5.8358920353982295,4.579917256637168,1.92866592920354,3,49.936965064574586,Tight High-Spin Breakers,1,61.424731182795696,5
"Harper, Scott",1000241275.0,NEW_YOR13,Slider,174,64,31,74,62,19,42,28,1,0,4,7,2,19,2001.53065,0.1461830380490394,0.484375,0.425287356321839,0.3064516129032258,0.4523809523809524,71.4832375,0.0357142857142857,0.0,0.1428571428571428,0.25,0.0714285714285714,0.6785714285714286,2.153228162043394,-0.0070066044392892,2.444337086040652,-0.0717070727560885,1.380423120443996,0.0200437437088468,2.010671070377273,0.0878120376565866,-2.3464537152418585,1.3820612382774546,-1.6857280594847024,0.4029176635938551,-0.7535608244918718,-0.0370382680845999,-1.8615923511571628,0.5655647874280042,2.34264752538477,76.74410248881706,99.19354838709675,7,4,-1.0394633918032208,39.605366081967794,14.85215053763441,632,133,2.010671070377273,70.10671070377273,95.36290322580643,35,13,1.6473760316949906,66.4737603169499,94.95967741935485,37,10,-2.098831407096409,29.01168592903591,1.2096774193548387,736,154,1000241275,3.456312126436782,-16.708678045977013,2674.8031310344827,79.83878678160919,5.632367471264367,4.205286724137931,1.860361091954023,3,53.83618355080906,Tight High-Spin Breakers,1,95.6989247311828,6
"Alpern, Liam",1000137537.0,FLO_Y'A,Slider,78,21,3,22,23,5,14,16,2,0,3,7,1,8,1118.83708,0.1146171954968108,0.1428571428571428,0.282051282051282,0.217391304347826,0.3571428571428571,69.9273175,0.125,0.0,0.1875,0.4375,0.0625,0.5,-0.9198935483425172,0.0029933336063065,0.0893519282634085,-0.0026212281675353,0.402621521707077,0.0058460644951867,1.250797528712978,0.0546260804714818,-2.796261523936688,1.646998037598709,-0.6060769445930889,0.1448626930658063,-0.7535608244918718,-0.0370382680845999,-1.372691541905817,0.4170332992717805,2.232700012257136,75.48892110637966,98.9247311827957,9,5,0.3967542795778602,53.967542795778606,68.41397849462365,235,49,1.250797528712978,62.50797528712978,88.23924731182797,88,34,1.7631377633269416,67.63137763326941,96.03494623655914,29,7,-0.6724866437519181,43.27513356248082,27.1505376344086,526,115,1000137537,-4.042234102564103,11.5085708974359,2219.105,76.82941141025641,5.546514358974359,4.826601153846154,-2.125199871794872,3,52.652815790473916,Tight High-Spin Breakers,1,86.4247311827957,7
"Jones, Logan",814785.0,TRI_VAL,Slider,65,26,6,15,17,3,12,17,2,1,6,7,4,6,1158.87517,0.1914184854426964,0.2307692307692307,0.2307692307692307,0.1764705882352941,0.25,68.16912764705883,0.1176470588235294,0.0588235294117647,0.3529411764705882,0.4117647058823529,0.2352941176470588,0.3529411764705882,-0.128823505246697,0.0004191916860727,-0.7537909060025184,0.0221132100184898,-0.0466509127287826,-0.0006773712528219,0.395939794340647,0.017291878638239,-3.304544420885729,1.9463766639016944,-0.694989389348869,0.1661142788739986,1.2171740535950872,0.0598253219082521,0.4391173394374026,-0.1334069215424589,2.0780562522314656,73.72347900612036,98.52150537634408,12,6,0.1996263638981038,51.99626363898104,60.88709677419355,291,64,0.395939794340647,53.95939794340647,70.16129032258065,225,85,-0.4771922194325894,45.2280778056741,27.41935483870968,541,116,0.5021502201788393,55.0215022017884,70.29569892473118,222,46,814785,2.4548069230769234,2.3349756923076925,2341.4368646153844,83.46183384615384,5.692705692307692,5.695370615384616,3.0107698461538464,3,50.545623466709735,Tight High-Spin Breakers,1,66.53225806451613,8
"Bargo, Casey",1000492781.0,NEW_ENG23,Slider,56,25,7,17,22,4,10,16,0,0,2,10,2,4,1194.26801,0.1783192063018477,0.28,0.3035714285714285,0.1818181818181818,0.4,74.641750625,0.0,0.0,0.125,0.625,0.125,0.25,0.3141757188869631,-0.0010223277892581,0.4431707962142882,-0.0130008584777423,0.0120608258622672,0.0001751231915201,1.5927406224619112,0.069559761204779,-1.4333451572889395,0.8442402976431853,-2.1175885054413475,0.5061396518050746,-0.7535608244918718,-0.0370382680845999,-2.0571526748577003,0.6249773826904933,1.994030762183452,72.76422828949876,97.98387096774194,16,7,1.8329719509589413,68.32971950958941,95.76612903225806,31,7,1.5927406224619112,65.92740622461912,91.12903225806453,66,26,0.9528056419032812,59.528056419032815,85.75268817204301,102,25,1.324396024930369,63.24396024930369,90.05376344086021,70,12,1000492781,1.4834028571428572,-4.979310535714285,2415.5824839285715,83.56961232142858,5.66463625,5.811873571428571,2.415990178571428,3,50.81957842303222,Tight High-Spin Breakers,1,69.89247311827957,9
"Kirby, Zach",813716.0,WAS_WIL3,Slider,127,57,12,29,45,4,29,42,1,1,9,11,6,25,3077.58645,0.1583490324362049,0.2105263157894736,0.2283464566929134,0.0888888888888888,0.1379310344827586,73.27586785714286,0.0238095238095238,0.0238095238095238,0.2142857142857142,0.2619047619047619,0.1428571428571428,0.5952380952380952,-0.3109777914858664,0.001011921733495,-0.793624425731616,0.0232817661532626,-1.0082187203199793,-0.0146393358190461,-0.4982217439108723,-0.0217588382218195,-1.828214260291568,1.0768181993117336,-1.8296815414702507,0.4373249929975949,0.0441175785433257,0.002168423102983,-1.079351056355011,0.3279144063780468,1.8321215356362504,70.91584226396884,97.04301075268818,23,9,-0.9482749682234696,40.5172503177653,17.6747311827957,613,130,-0.4982217439108723,45.01778256089128,36.29032258064516,475,135,0.7212821786393792,57.21282178639379,80.71236559139786,144,39,-1.4332038508689795,35.6679614913102,7.526881720430108,689,141,813716,5.775077874015748,-13.35486874015748,2204.134622047244,77.95873236220473,5.682268267716535,6.0299599212598425,2.182132125984252,3,53.98320877004172,Tight High-Spin Breakers,1,96.37096774193549,10
