overall_rank,pitch_type_rank,pitch_type_batter_side_rank,pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,split_pitch_count,pitch_value_pitch_count,pitch_value_20_80,pitch_value_0_100,location_score_20_80,location_score_0_100,average_location_advantage,median_location_advantage,final_pitch_score_raw,final_pitch_score,final_pitch_score_0_100,pitch_value_raw,location_score_raw,pitch_value_xwoba_frontier,pitch_value_overall_rank,pitch_value_pitch_type_rank,groundball_pct,line_drive_pct,flyball_pct,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank
1,1,1,"Vecerka, Boris",807828.0,QUE_CAP,Slider,R,48,61,80.0,99.73118279569891,63.70228407249685,90.94993581514764,0.0116991105053497,0.0,75.11068522174905,75.11068522174905,100.0,2.9441883639302318,0.0116991105053497,0.1093737703834606,3,1,0.4,0.2,0.4,51.09510745301644,57.66129032258065,323,73,70.8373583399884,96.3037634408602,29,11,49.80407096194889,46.90860215053764,409,97,51.26266423720997,55.51075268817204,341,73
2,2,2,"Ryan, Dillon",1000132418.0,NEW_ENG23,Slider,R,54,113,79.2497765353483,99.46236559139786,63.04891546419519,89.98716302952504,0.0113323161371592,0.0,74.38951821400236,74.38951821400236,99.9244142101285,2.562131843730534,0.0113323161371592,0.1494691558128779,5,3,0.5,0.1363636363636363,0.3636363636363636,58.75493503371554,80.1747311827957,156,29,64.69991819577679,89.98655913978494,76,29,58.05472528917162,82.93010752688173,130,35,54.16722084620239,67.00268817204301,251,52
3,3,3,"Harper, Scott",1000241275.0,NEW_YOR13,Slider,R,143,174,76.74410248881706,99.19354838709675,67.46620051093913,94.1591784338896,0.0138121342019563,0.0,73.96073189545368,73.96073189545368,99.848828420257,2.34264752538477,0.0138121342019563,0.1461830380490394,7,4,0.25,0.0714285714285714,0.6785714285714286,39.605366081967794,14.85215053763441,632,133,70.10671070377273,95.36290322580643,35,13,66.4737603169499,94.95967741935485,37,10,29.01168592903591,1.2096774193548387,736,154
4,4,4,"Kirby, Zach",813716.0,WAS_WIL3,Slider,R,126,127,70.91584226396884,97.04301075268818,80.0,99.42233632862644,0.0210581316426733,0.0083349746801396,73.64108958477819,73.64108958477819,99.77324263038548,1.8321215356362504,0.0210581316426733,0.1583490324362049,23,9,0.2619047619047619,0.1428571428571428,0.5952380952380952,40.5172503177653,17.6747311827957,613,130,45.01778256089128,36.29032258064516,475,135,57.21282178639379,80.71236559139786,144,39,35.6679614913102,7.526881720430108,689,141
5,5,5,"Bargo, Casey",1000492781.0,NEW_ENG23,Slider,R,29,56,72.76422828949876,97.98387096774194,73.70370238962111,97.75353016688062,0.0173138031398401,0.0130006107874587,73.04607051953546,73.04607051953546,99.69765684051399,1.994030762183452,0.0173138031398401,0.1783192063018477,16,7,0.625,0.125,0.25,68.32971950958941,95.76612903225806,31,7,65.92740622461912,91.12903225806453,66,26,59.528056419032815,85.75268817204301,102,25,63.24396024930369,90.05376344086021,70,12
6,6,6,"Moore, Kyle",1000517760.0,SCH_BOO,Slider,R,31,53,70.38705125519395,96.90860215053765,77.50751341637829,98.7163029525032,0.0194492232450425,0.0094022364630967,72.52318990354925,72.52318990354925,99.62207105064248,1.7858021293794806,0.0194492232450425,0.1780853827173986,24,10,0.2,0.15,0.65,35.775452291618244,5.846774193548387,704,150,43.98605770906261,31.98924731182796,508,139,56.28672793333817,77.41935483870968,167,47,31.29383755038709,2.553763440860215,726,152
7,1,1,"Grounds, Jackson",805984.0,DOW_EAS1,Curveball,R,43,82,80.0,100.0,54.83443835488616,72.59306803594352,0.0067207937850885,0.0,72.45033150646584,72.45033150646584,99.54648526077098,4.136109543650809,0.0067207937850885,0.1096871655556256,1,1,0.5,0.0,0.5,58.75493503371554,80.1747311827957,143,31,66.86607354079266,91.93548387096774,60,18,75.73469884750602,99.26075268817203,6,2,43.27513356248082,27.1505376344086,537,64
8,1,1,"Grounds, Jackson",805984.0,DOW_EAS1,Four-Seam,R,48,107,73.45912967875816,98.252688172043,69.3300186268786,95.37869062901156,0.014858462384198,0.0126033068340814,72.22039636319428,72.22039636319428,99.47089947089947,2.054900593975925,0.014858462384198,0.1605025648391574,14,2,0.2222222222222222,0.1851851851851851,0.5925925925925926,37.477636198440266,9.61021505376344,674,196,51.35765701270806,61.22311827956989,288,63,51.72485821273091,55.57795698924731,331,84,35.879271826620496,7.862903225806452,687,208
9,1,1,"Lawson, Nathan",1000569348.0,FLO_Y'A,Changeup,L,33,51,76.9618129360427,99.32795698924733,60.568923479631046,86.26444159178433,0.0099400743282663,0.0,72.04394609911921,72.04394609911921,99.39531368102796,2.3617178546529445,0.0099400743282663,0.1681990193464893,6,1,0.4117647058823529,0.0,0.5882352941176471,51.99626363898104,60.88709677419355,292,71,52.42503790735356,65.12096774193549,259,34,75.73469884750602,99.26075268817203,7,2,36.22731237889627,8.53494623655914,682,111
10,2,1,"Morgan, Cooper",692707.0,QUE_CAP,Curveball,L,44,51,80.0,99.86559139784946,53.33351576540399,66.81643132220796,0.0058781913920183,0.0030769208486029,72.0000547296212,72.0000547296212,99.31972789115646,3.342588113145799,0.0058781913920183,0.1185826317895145,2,2,0.3333333333333333,0.2,0.4666666666666667,45.98855573255037,37.43279569892473,468,61,67.25718492253162,92.74193548387096,54,16,49.80407096194889,46.90860215053764,401,43,45.937643787390535,35.215053763440864,483,60
11,7,1,"Alpern, Liam",1000137537.0,FLO_Y'A,Slider,L,38,78,75.48892110637966,98.9247311827957,61.79729700927987,88.25417201540436,0.0106296705025923,0.0,71.38143387724972,71.38143387724972,99.24414210128496,2.232700012257136,0.0106296705025923,0.1146171954968108,9,5,0.4375,0.0625,0.5,53.967542795778606,68.41397849462365,235,49,62.50797528712978,88.23924731182797,88,34,67.63137763326941,96.03494623655914,29,7,43.27513356248082,27.1505376344086,526,115
12,8,2,"Carroll, Jake",1000088275.0,JOL_SLA,Slider,L,46,62,80.0,99.59677419354838,49.83159914318512,53.722721437740695,0.0039122516780772,0.0,70.94947974295553,70.94947974295553,99.16855631141345,2.829218700450651,0.0039122516780772,0.2079516872012189,4,2,0.4545454545454545,0.1818181818181818,0.3636363636363636,55.27319522430685,71.9758064516129,207,42,56.80892372464757,78.15860215053763,158,62,52.16140076972681,57.795698924731184,309,76,54.16722084620239,67.00268817204301,241,50
13,2,2,"Davis, Tyler",824623.0,WIN_CIT29,Four-Seam,R,33,76,73.62244585193395,98.38709677419357,64.24114988122696,91.59178433889602,0.0120016241880416,1.1102230246251563e-16,70.80805706072185,70.80805706072185,99.09297052154194,2.069206261145184,0.0120016241880416,0.1125289164339005,13,1,0.3157894736842105,0.0,0.6842105263157895,44.64472633242772,31.85483870967742,504,99,49.21018830800463,53.69623655913978,347,87,75.73469884750602,99.26075268817203,5,1,28.56126126692713,1.0752688172043012,737,237
14,9,3,"Ryan, Dillon",1000132418.0,NEW_ENG23,Slider,L,59,113,79.2497765353483,99.46236559139786,48.5254016755517,48.84467265725289,0.0031789659511764,0.0013709594136427,70.03246407740932,70.03246407740932,99.01738473167045,2.562131843730534,0.0031789659511764,0.1494691558128779,5,3,0.5,0.1363636363636363,0.3636363636363636,58.75493503371554,80.1747311827957,156,29,64.69991819577679,89.98655913978494,76,29,58.05472528917162,82.93010752688173,130,35,54.16722084620239,67.00268817204301,251,52
15,3,3,"Cameron, Zach",1000084075.0,WIN_CIT29,Four-Seam,R,50,98,70.92657330592881,97.17741935483872,67.07975985228884,93.90243902439023,0.0135951904194854,0.0117015351948525,69.77252926983681,69.77252926983681,98.94179894179894,1.833061520401222,0.0135951904194854,0.2062576352171025,22,3,0.4102564102564102,0.1025641025641025,0.4871794871794871,51.8807307946266,60.3494623655914,296,30,51.10987216216536,60.14784946236559,295,66,62.43694095747673,90.45698924731182,72,12,44.29917595667687,30.241935483870968,520,117
16,2,2,"Rodriguez, Joe Joe",689487.0,NEW_JER6,Changeup,L,59,82,74.76527429683387,98.79032258064515,58.05654217070219,80.93709884467266,0.0085296494882092,0.0,69.75265465899436,69.75265465899436,98.86621315192744,2.169312227666349,0.0085296494882092,0.1200777532420804,10,3,0.4666666666666667,0.0,0.5333333333333333,56.2016591734825,74.66397849462365,191,52,56.80892372464757,78.15860215053763,165,18,75.73469884750602,99.26075268817203,9,3,40.6126233375711,18.077956989247312,611,104
17,3,2,"Grounds, Jackson",805984.0,DOW_EAS1,Curveball,L,39,82,80.0,100.0,44.9758886879904,33.18356867779204,0.0011863061308022,0.0,69.49276660639711,69.49276660639711,98.79062736205594,4.136109543650809,0.0011863061308022,0.1096871655556256,1,1,0.5,0.0,0.5,58.75493503371554,80.1747311827957,143,31,66.86607354079266,91.93548387096774,60,18,75.73469884750602,99.26075268817203,6,2,43.27513356248082,27.1505376344086,537,64
18,3,1,"Peyton, Blake",1000017005.0,GAT_GRI,Changeup,R,84,87,76.35070828077802,99.05913978494624,52.67667349574116,64.56996148908858,0.0055094469463247,4.163336342344337e-17,69.24849784526697,69.24849784526697,98.71504157218442,2.3081881910942013,0.0055094469463247,0.1417352023014612,8,2,0.65,0.15,0.2,70.24467640476419,97.24462365591395,22,6,46.77859297467889,43.54838709677419,422,68,56.28672793333817,77.41935483870968,171,37,67.23772558666826,94.8252688172043,41,12
19,4,3,"Escobar, Anthony",678673.0,TRO_AIG,Changeup,L,100,104,72.0268992008304,97.58064516129032,61.94570262438977,88.3183568677792,0.0107129838775211,0.0,69.00254022789821,69.00254022789821,98.63945578231292,1.9294444794437196,0.0107129838775211,0.1499277140123484,19,5,0.4,0.1333333333333333,0.4666666666666667,51.09510745301644,57.66129032258065,312,76,53.27158137552069,67.20430107526882,244,32,58.44761359046794,84.20698924731182,116,26,45.937643787390535,35.215053763440864,480,92
20,10,4,"Harper, Scott",1000241275.0,NEW_YOR13,Slider,L,31,174,76.74410248881706,99.19354838709675,50.907639093086914,57.9589216944801,0.0045163293588184,0.0013709594136427,68.99316347009801,68.99316347009801,98.56386999244143,2.34264752538477,0.0045163293588184,0.1461830380490394,7,4,0.25,0.0714285714285714,0.6785714285714286,39.605366081967794,14.85215053763441,632,133,70.10671070377273,95.36290322580643,35,13,66.4737603169499,94.95967741935485,37,10,29.01168592903591,1.2096774193548387,736,154
21,11,5,"McEvoy, Aidan",1000079355.0,FLO_Y'A,Slider,L,65,100,71.65305287006666,97.4462365591398,62.64204258427888,89.34531450577664,0.0111039019173351,0.0,68.94974978433032,68.94974978433032,98.48828420256991,1.896697439904662,0.0111039019173351,0.1458882245245938,20,8,0.24,0.12,0.64,38.83938332389789,12.567204301075268,652,140,58.946068060578405,82.72849462365592,130,49,60.17632211617174,87.02956989247312,98,23,32.09259061786001,2.956989247311828,723,151
22,4,1,"Grounds, Jackson",805984.0,DOW_EAS1,Four-Seam,L,59,107,73.45912967875816,98.252688172043,57.974132747846845,80.55198973042363,0.0084833856919308,0.0051660677443128,68.81363059948477,68.81363059948477,98.4126984126984,2.054900593975925,0.0084833856919308,0.1605025648391574,14,2,0.2222222222222222,0.1851851851851851,0.5925925925925926,37.477636198440266,9.61021505376344,674,196,51.35765701270806,61.22311827956989,288,63,51.72485821273091,55.57795698924731,331,84,35.879271826620496,7.862903225806452,687,208
23,12,7,"Hickey, Matt",806277.0,GAT_GRI,Slider,R,63,75,67.62924856336936,95.43010752688171,70.47094655215675,96.34146341463416,0.0154989675021147,0.0041158122971017,68.48175796000557,68.48175796000557,98.33711262282691,1.544232622449726,0.0154989675021147,0.1944793306592228,35,15,0.5238095238095238,0.0952380952380952,0.3809523809523809,60.57870350531056,84.00537634408603,121,21,46.61062092862677,42.60752688172043,428,128,63.38678080676453,92.002688172043,60,14,52.7840986514441,61.55913978494624,287,56
24,5,4,"Serrano, Elio",665939.0,NEW_JER6,Changeup,L,49,55,74.29213614634268,98.65591397849462,54.11795584233245,69.9614890885751,0.0063185679248734,0.0,68.23988205513962,68.23988205513962,98.2615268329554,2.1278677290941213,0.0063185679248734,0.161554764966734,11,4,0.3846153846153846,0.1538461538461538,0.4615384615384615,49.91667244060119,54.03225806451613,345,82,53.95939794340647,70.16129032258065,230,30,55.78806201246208,75.13440860215054,191,41,46.34726074506896,36.89516129032258,473,91
25,13,6,"Jones, Logan",814785.0,TRI_VAL,Slider,L,33,65,73.72347900612036,98.52150537634408,53.030231178321685,65.78947368421053,0.0057079305666781,0.0,67.51550465778075,67.51550465778075,98.1859410430839,2.0780562522314656,0.0057079305666781,0.1914184854426964,12,6,0.4117647058823529,0.2352941176470588,0.3529411764705882,51.99626363898104,60.88709677419355,291,64,53.95939794340647,70.16129032258065,225,85,45.2280778056741,27.41935483870968,541,116,55.0215022017884,70.29569892473118,222,46
