pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank,pitcher_id_key,ivb,hb,spin_rate,velocity,extension,release_height,release_side,cluster,movement_predicted_pvs,archetype,cluster_rank,movement_quality_0_100,archetype_pitch_value_rank
"Grounds, Jackson",805984.0,DOW_EAS1,Curveball,82,19,8,23,29,7,17,10,0,0,0,646.25152,0.1096871655556255,0.4210526315789473,0.2804878048780488,0.2413793103448276,0.4117647058823529,64.625152,0.0,0.0,0.0,1.5834267854014927,-0.0051524707596964,0.0636463540479853,-0.0018671294423516,0.6659881212039618,0.0096701475198815,1.686607354079265,0.0736592029747037,-4.329088047724751,2.5498328601098783,-2.1175885054413475,0.5061396518050746,-0.7535608244918718,-0.0370382680845999,-3.4260749407614663,1.0408655495279189,4.136109543650809,80.0,100.0,1,1,805984,-10.500080243902438,-12.01293524390244,1945.7746609756095,81.40860719512196,5.351570975609756,6.060410609756097,2.076265,3,50.0489111360943,Tight High-Spin Breakers,1,62.096774193548384,1
"Morgan, Cooper",692707.0,QUE_CAP,Curveball,51,26,8,12,24,5,12,15,1,1,6,916.63964,0.1185826317895148,0.3076923076923077,0.2352941176470588,0.2083333333333333,0.4166666666666667,61.109309333333336,0.0666666666666666,0.0666666666666666,0.4,0.5633627824621464,-0.0018331824941318,-0.6793959500378772,0.0199307595903111,0.3031731963762229,0.0044020748113827,1.7257184922531628,0.0753673037121723,-5.345498586575795,3.148498667493143,-1.3114490063222772,0.3134586071441317,1.47993870400668,0.0727404672406323,0.954476310130586,-0.2899765843518428,3.342588113145799,80.0,99.86559139784946,2,2,692707,-1.0346180392156863,16.78828568627451,2657.0229784313724,75.57898745098039,5.260418823529412,4.807649215686275,-4.26667705882353,3,54.06913153958679,Tight High-Spin Breakers,1,96.7741935483871,2
"Vecerka, Boris",807828.0,QUE_CAP,Slider,61,17,6,19,17,6,13,10,0,0,2,678.47421,0.1093737703834607,0.3529411764705882,0.3114754098360656,0.3529411764705882,0.4615384615384615,67.847421,0.0,0.0,0.2,0.9705311869967592,-0.0031581084824874,0.5731224069405808,-0.0168131189300088,1.8908364607758648,0.0274549454104655,2.08373583399884,0.0910029950782313,-3.397548021299692,2.0011557845455186,-2.1175885054413475,0.5061396518050746,-0.7535608244918718,-0.0370382680845999,-1.2357993153154403,0.375444482588038,2.944188363930232,80.0,99.73118279569891,3,1,807828,2.456283114754098,-11.820105737704916,2496.152949180328,82.9846080327869,5.6485701639344255,4.882090163934427,2.73322131147541,3,51.621264577830175,Tight High-Spin Breakers,1,77.28494623655914,3
"Carroll, Jake",1000088275.0,JOL_SLA,Slider,62,24,6,14,17,4,14,11,0,0,2,755.35123,0.2079516872012191,0.25,0.2258064516129032,0.2352941176470588,0.2857142857142857,68.66829363636363,0.0,0.0,0.1818181818181818,0.0442230666805142,-0.0001439018589783,-0.8353853738347043,0.0245068653268148,0.5991782117727665,0.0087000676349405,0.6808923724647574,0.0297366125826533,-3.1602383127155287,1.8613803661894464,-2.1175885054413475,0.5061396518050746,-0.7535608244918718,-0.0370382680845999,-1.4349152812650794,0.4359373068552999,2.829218700450651,80.0,99.59677419354838,4,2,1000088275,-6.216573387096775,7.841985483870967,2032.7843403225809,75.24921435483871,6.0965925806451615,6.229637903225807,-1.9229637096774197,3,53.28968952144687,Tight High-Spin Breakers,1,91.93548387096774,4
"Ryan, Dillon",1000132418.0,NEW_ENG23,Slider,113,46,16,36,44,10,26,22,0,0,4,1543.34618,0.1494691558128781,0.3478260869565217,0.3185840707964602,0.2272727272727272,0.3846153846153846,70.15209909090909,0.0,0.0,0.1818181818181818,0.9245034543102376,-0.0030083342403255,0.6899979296652422,-0.0202417792646595,0.5111106038861913,0.0074213259684274,1.4699918195776789,0.0641989527364159,-2.7312784175804774,1.6087229879549012,-2.1175885054413475,0.5061396518050746,-0.7535608244918718,-0.0370382680845999,-1.4349152812650794,0.4359373068552999,2.562131843730534,79.2497765353483,99.46236559139786,5,3,1000132418,-2.215829115044248,-8.520570530973451,2495.287846017699,85.37649053097346,5.8358920353982295,4.579917256637168,1.92866592920354,3,49.93696506457459,Tight High-Spin Breakers,1,61.424731182795696,5
"Lawson, Nathan",1000569348.0,FLO_Y'A,Changeup,51,25,5,7,24,3,13,17,1,0,1,1238.66,0.1681990193464894,0.2,0.1372549019607843,0.125,0.2307692307692307,72.86235294117648,0.0588235294117647,0.0,0.0588235294117647,-0.4056980203302334,0.0013201413581545,-2.29128666260509,0.0672171855341829,-0.6117513966676381,-0.0088826302796141,0.2425037907353562,0.0105908680527852,-1.9477591200616469,1.14723012171631,-1.4062889473951083,0.3361269653395366,-0.7535608244918718,-0.0370382680845999,-2.781876227394988,0.8451534710161892,2.3617178546529445,76.9618129360427,99.32795698924733,6,1,1000569348,7.961830784313726,10.808374705882354,1437.565349019608,79.7723056862745,5.783678235294117,5.586570588235294,1.6163258823529412,0,50.88224879643926,Soft-Speed Separation,2,67.33870967741935,1
"Harper, Scott",1000241275.0,NEW_YOR13,Slider,174,64,31,74,62,19,42,28,1,0,4,2001.53065,0.1461830380490394,0.484375,0.425287356321839,0.3064516129032258,0.4523809523809524,71.4832375,0.0357142857142857,0.0,0.1428571428571428,2.153228162043394,-0.0070066044392892,2.444337086040652,-0.0717070727560885,1.380423120443996,0.0200437437088468,2.010671070377273,0.0878120376565866,-2.3464537152418585,1.3820612382774546,-1.6857280594847024,0.4029176635938551,-0.7535608244918718,-0.0370382680845999,-1.8615923511571628,0.5655647874280042,2.34264752538477,76.74410248881706,99.19354838709675,7,4,1000241275,3.456312126436782,-16.708678045977013,2674.8031310344827,79.83878678160919,5.632367471264367,4.205286724137931,1.860361091954023,3,53.83618355080906,Tight High-Spin Breakers,1,95.6989247311828,6
"Peyton, Blake",1000017005.0,GAT_GRI,Changeup,87,38,14,22,24,4,25,20,1,0,4,1402.11422,0.1417352023014612,0.3684210526315789,0.2528735632183908,0.1666666666666666,0.16,70.105711,0.05,0.0,0.2,1.1098256411796534,-0.0036113726363985,-0.3903672705430666,0.0114518142486514,-0.154289100145708,-0.0022402777341156,-0.3221407025321114,-0.0140688509016849,-2.7446889563751165,1.6166217953049435,-1.512983881102044,0.3616288683093672,-0.7535608244918718,-0.0370382680845999,-1.2357993153154403,0.375444482588038,2.3081881910942013,76.35070828077802,99.05913978494624,8,2,1000017005,10.35781908045977,-13.20826344827586,1936.970593103448,80.98885655172414,6.103550919540229,5.885427586206896,-2.441557931034483,1,52.535168695748595,Glove-Side Power Break,3,70.16129032258065,1
"Alpern, Liam",1000137537.0,FLO_Y'A,Slider,78,21,3,22,23,5,14,16,2,0,3,1118.83708,0.1146171954968109,0.1428571428571428,0.282051282051282,0.217391304347826,0.3571428571428571,69.9273175,0.125,0.0,0.1875,-0.9198935483425172,0.0029933336063065,0.0893519282634085,-0.0026212281675353,0.402621521707077,0.0058460644951867,1.250797528712978,0.0546260804714818,-2.796261523936688,1.646998037598709,-0.6060769445930889,0.1448626930658063,-0.7535608244918718,-0.0370382680845999,-1.372691541905817,0.4170332992717805,2.232700012257136,75.48892110637966,98.9247311827957,9,5,1000137537,-4.042234102564103,11.5085708974359,2219.105,76.82941141025641,5.546514358974359,4.826601153846154,-2.125199871794872,3,52.652815790473916,Tight High-Spin Breakers,1,86.4247311827957,7
"Rodriguez, Joe Joe",689487.0,NEW_JER6,Changeup,82,43,20,27,31,6,21,15,0,0,0,1135.90909,0.1200777532420803,0.4651162790697674,0.3292682926829268,0.1935483870967742,0.2857142857142857,75.72727266666668,0.0,0.0,0.0,1.9799300689360564,-0.0064426924443179,0.8656602695692317,-0.0253950096680829,0.1408478653523124,0.0020451110049155,0.6808923724647574,0.0297366125826533,-1.119526779189792,0.6594012729427875,-2.1175885054413475,0.5061396518050746,-0.7535608244918718,-0.0370382680845999,-3.4260749407614663,1.0408655495279189,2.169312227666349,74.76527429683387,98.79032258064515,10,3,689487,8.669955731707317,15.347573902439024,1799.461998780488,81.37598841463415,5.409436341463414,5.695493292682928,2.6102653658536585,0,50.48441769269408,Soft-Speed Separation,2,63.44086021505376,2
"Serrano, Elio",665939.0,NEW_JER6,Changeup,55,34,12,15,18,3,12,13,1,1,4,903.21352,0.1615547649667341,0.3529411764705882,0.2727272727272727,0.1666666666666666,0.25,69.47796307692307,0.0769230769230769,0.0769230769230769,0.3076923076923077,0.9705311869967592,-0.0031581084824874,-0.0639467688758502,0.0018759424117419,-0.154289100145708,-0.0022402777341156,0.395939794340647,0.017291878638239,-2.9261673856593737,1.723512590153371,-1.1874275449193423,0.2838153695039865,1.823554016083382,0.0896295034445143,-0.0564201323829647,0.0171408311588713,2.1278677290941213,74.29213614634268,98.65591397849462,11,4,665939,10.801358545454544,11.897126,1833.510310909091,82.24524763636364,5.931770545454546,5.737268727272728,1.9039670909090909,0,50.67659191968129,Soft-Speed Separation,2,65.18817204301075,3
"Jones, Logan",814785.0,TRI_VAL,Slider,65,26,6,15,17,3,12,17,2,1,6,1158.87517,0.1914184854426965,0.2307692307692307,0.2307692307692307,0.1764705882352941,0.25,68.16912764705883,0.1176470588235294,0.0588235294117647,0.3529411764705882,-0.128823505246697,0.0004191916860727,-0.7537909060025184,0.0221132100184898,-0.0466509127287826,-0.0006773712528219,0.395939794340647,0.017291878638239,-3.304544420885729,1.9463766639016944,-0.694989389348869,0.1661142788739986,1.2171740535950872,0.0598253219082521,0.4391173394374026,-0.1334069215424589,2.0780562522314656,73.72347900612036,98.52150537634408,12,6,814785,2.4548069230769234,2.3349756923076925,2341.4368646153844,83.46183384615384,5.692705692307692,5.695370615384616,3.0107698461538464,3,50.54562346670974,Tight High-Spin Breakers,1,66.53225806451613,8
"Davis, Tyler",824623.0,WIN_CIT29,Four-Seam,76,26,6,20,12,4,21,19,1,0,0,1436.12186,0.1125289164339004,0.2307692307692307,0.2631578947368421,0.3333333333333333,0.1904761904761904,75.58536105263158,0.0526315789473684,0.0,0.0,-0.128823505246697,0.0004191916860727,-0.2212796422556164,0.0064914595852107,1.6755600859420157,0.024329132447878,-0.0789811691995376,-0.0034493446024514,-1.1605526366487056,0.6835655029860875,-1.4811625850841863,0.3540230375990669,-0.7535608244918718,-0.0370382680845999,-3.4260749407614663,1.0408655495279189,2.069206261145184,73.62244585193395,98.38709677419357,13,1,824623,21.23184789473684,5.648621842105263,2170.9824881578947,89.31716763157894,5.858615394736842,6.558214736842106,0.4845959210526316,2,48.90616615720071,Arm-Side Run Power,4,31.85483870967742,1
"Grounds, Jackson",805984.0,DOW_EAS1,Four-Seam,107,47,12,29,27,5,23,27,3,1,7,1886.19372,0.1605025648391575,0.2553191489361702,0.2710280373831775,0.1851851851851851,0.217391304347826,69.85902666666667,0.1111111111111111,0.037037037037037,0.2592592592592592,0.0920870121071893,-0.0002996511373967,-0.0918843819059031,0.0026955202275915,0.0490274760862608,0.0007118789527725,0.1357657012708062,0.0059292954715999,-2.816004023612514,1.6586263699077708,-0.7740226735762289,0.1850045773701695,0.4872722468962125,0.0239499182071957,-0.5868287596277298,0.1782826849762217,2.054900593975925,73.45912967875816,98.252688172043,14,2,805984,17.0341461682243,14.240285607476636,2162.7614570093456,92.4652793457944,5.590913457943926,6.146667102803739,1.9688526168224296,2,46.45326243120319,Arm-Side Run Power,4,4.435483870967742,2
