movement_trait,target,correlation,p_value
ivb,pitch_value_20_80,-0.13517294994817378,0.001241027373760023
ivb,xwoba_frontier,-0.00030390640945465134,0.9942337623147041
ivb,whiff_pct,-0.2892103272335772,2.0916096847659023e-12
ivb,csw_pct,-0.24104995311568192,5.947174934735773e-09
ivb,k_pct,-0.2575183010209649,4.687931075714492e-10
ivb,avg_exit_velocity,0.1276200795419668,0.002309022972151592
ivb,hardhit_pct,0.03499353405714486,0.405177617307452
ivb,sweetspot_pct,0.13568917458031152,0.0011880788210822378
hb,pitch_value_20_80,-0.11671608130766727,0.005351752762427094
hb,xwoba_frontier,0.07074254780099548,0.0921070664703487
hb,whiff_pct,-0.13698305781163725,0.0010643810515116687
hb,csw_pct,-0.1907688793838911,4.679955287672685e-06
hb,k_pct,-0.15835543358462803,0.0001508481029068309
hb,avg_exit_velocity,0.1327340765913097,0.001521828424839966
hb,hardhit_pct,0.06268386770848103,0.13567147086991527
hb,sweetspot_pct,0.04194338656165417,0.3183456407155364
spin_rate,pitch_value_20_80,0.018236335643120015,0.664505826322014
spin_rate,xwoba_frontier,-0.04967577119672407,0.23719298847033418
spin_rate,whiff_pct,-0.01185205411427057,0.7780549315904168
spin_rate,csw_pct,0.14173906487848337,0.0007047919496630951
spin_rate,k_pct,0.1338566059686041,0.0013860320151176267
spin_rate,avg_exit_velocity,-0.05366855384173098,0.20154148649904682
spin_rate,hardhit_pct,-0.05993220328716595,0.15372834732181745
spin_rate,sweetspot_pct,0.10613004874237641,0.011375391972043574
velocity,pitch_value_20_80,-0.18348769654110234,1.0785238926698814e-05
velocity,xwoba_frontier,0.07785688412775527,0.06370033285709757
velocity,whiff_pct,-0.30962008507006394,4.381768474571511e-14
velocity,csw_pct,-0.22382242964618404,7.002934894103001e-08
velocity,k_pct,-0.24493888272799633,3.3178784244206212e-09
velocity,avg_exit_velocity,0.18785587570457332,6.561158786402371e-06
velocity,hardhit_pct,0.04583427198184486,0.27548258387886915
velocity,sweetspot_pct,0.12472516101749098,0.002904861367722685
extension,pitch_value_20_80,-0.03537660105934241,0.40005232064421015
extension,xwoba_frontier,-0.01267501412121162,0.7630888356666525
extension,whiff_pct,-0.059189324387676844,0.1589025511744282
extension,csw_pct,-0.05630330415840775,0.1802552109504677
extension,k_pct,-0.0640567166775682,0.12729627422601197
extension,avg_exit_velocity,0.05149291758410437,0.22045189900488876
extension,hardhit_pct,0.06267910208102827,0.13570126590472428
extension,sweetspot_pct,-0.03604537615733445,0.3911980792972564
release_height,pitch_value_20_80,-0.049846823793153486,0.23557993419745912
release_height,xwoba_frontier,0.005032910965684134,0.9047329749569657
release_height,whiff_pct,0.041015095821113776,0.32918351031932397
release_height,csw_pct,-0.00835678258030938,0.8424740829432413
release_height,k_pct,-0.007656464035479955,0.8555236429869044
release_height,avg_exit_velocity,0.05066960837171326,0.22792914913148452
release_height,hardhit_pct,0.007117318866565403,0.8655970489282084
release_height,sweetspot_pct,0.03633898238998603,0.38734866446462907
release_side,pitch_value_20_80,-0.03748375605865814,0.3725610332137664
release_side,xwoba_frontier,0.0026573286491722455,0.9496135774390527
release_side,whiff_pct,0.026464577179062438,0.5290581099409658
release_side,csw_pct,-0.047045046444834565,0.2629854187629053
release_side,k_pct,-0.0010557050710608498,0.9799712630816562
release_side,avg_exit_velocity,0.06647169456518784,0.11354369396195291
release_side,hardhit_pct,0.0008225420385924592,0.9843941677402229
release_side,sweetspot_pct,-0.02155795411814541,0.6081520287673616
