pitcher_name,pitcher_id,pitcher_team,pitch_type,split_pitch_count_vs_rhh,split_pitch_count_vs_lhh,pitch_value_20_80_vs_rhh,pitch_value_20_80_vs_lhh,location_score_20_80_vs_rhh,location_score_20_80_vs_lhh,final_pitch_score_vs_rhh,final_pitch_score_vs_lhh,final_pitch_score_0_100_vs_rhh,final_pitch_score_0_100_vs_lhh,platoon_gap,absolute_platoon_gap,average_final_pitch_score,minimum_final_pitch_score,pitch_type_median_gap,stronger_side,platoon_category,right_handed_killer_rank,left_handed_killer_rank,balanced_rank
"Thompson, Ross",1000103401.0,SCH_BOO,Slider,196.0,27.0,52.779542805344434,52.779542805344434,80.0,24.06077060027776,60.9456799637411,44.16391114382443,92.66535690897184,21.807465618860512,16.78176881991667,16.78176881991667,52.55479555378277,44.16391114382443,5.094112081866381,RHH,Right-Handed Killer,1,674,
"Vailes, Gage",1000050773.0,GAT_GRI,Slider,220.0,95.0,57.51631523554578,57.51631523554578,79.46746581960251,30.70021017477704,64.1016604107628,49.47148371731516,96.5946299934512,50.68762278978389,14.630176693447645,14.630176693447645,56.78657206403898,49.47148371731516,5.094112081866381,RHH,Right-Handed Killer,2,673,
"Hagan, Jack",699522.0,DOW_EAS1,Slider,129.0,81.0,57.903276438091694,57.903276438091694,76.67237839664776,31.616093253597025,63.53400702565851,50.01712148274329,96.13621480026195,53.307138179436805,13.516885542915219,13.516885542915219,56.7755642542009,50.01712148274329,5.094112081866381,RHH,Right-Handed Killer,3,672,
"Pardinho, Eric",672078.0,OTT_TIT,Slider,121.0,30.0,53.2014027495426,53.2014027495426,67.83900205667055,28.067577984331127,57.592682541680986,45.66125531997916,85.396201702685,29.862475442043223,11.931427221701824,11.931427221701824,51.626968930830074,45.66125531997916,5.094112081866381,RHH,Right-Handed Killer,4,671,
"Nova, Fraynel",805843.0,LAK_ERI24,Slider,145.0,159.0,56.77874841047126,56.77874841047126,79.13463968764572,39.90706018190667,63.48551579362359,51.71724194190188,95.87426326129666,62.47544204322201,11.768273851721709,11.768273851721709,57.60137886776273,51.71724194190188,5.094112081866381,RHH,Right-Handed Killer,5,670,
"Gamelin, Shaun",815222.0,JOL_SLA,Slider,43.0,32.0,52.96413578869221,52.96413578869221,72.702064287049,33.5642171972064,58.88551433819924,47.14416021124647,87.95022920759659,38.37590045841519,11.741354126952771,11.741354126952771,53.01483727472286,47.14416021124647,5.094112081866381,RHH,Right-Handed Killer,6,669,
"Perdomo, Rafael",1000557553.0,QUE_CAP,Slider,46.0,38.0,47.4725948745652,47.4725948745652,80.0,42.08870038053122,57.23081641219565,45.85742652635501,84.15193189259988,31.303208906352324,11.373389885840638,11.373389885840638,51.54412146927533,45.85742652635501,5.094112081866381,RHH,Right-Handed Killer,7,668,
"Delaney, Carter",1000039247.0,WIN_CIT29,Slider,45.0,28.0,41.70825874358695,41.70825874358695,74.35863823815359,36.839208733511335,51.50337259195695,40.24754374056427,61.42763588736084,9.299279633267846,11.255828851392685,11.255828851392685,45.875458166260614,40.24754374056427,5.094112081866381,RHH,Right-Handed Killer,8,667,
"Cohn, Cooper",1000301881.0,NIU_HUS,Four-Seam,38.0,32.0,49.25868614519926,49.25868614519926,68.37623612964819,30.998928360233368,54.99395114053394,43.78075880970949,77.21021611001964,20.6286836935167,11.213192330824448,11.213192330824448,49.38735497512171,43.78075880970949,1.4124000278825655,RHH,Right-Handed Killer,9,666,
"Blair, Davis",836357.0,DOW_EAS1,Slider,61.0,38.0,51.15073870992675,51.15073870992675,80.0,42.76635950183638,59.80551709694872,48.63542494749963,90.56974459724952,47.08578912901113,11.17009214944909,11.17009214944909,54.220471022224174,48.63542494749963,5.094112081866381,RHH,Right-Handed Killer,10,665,
"Leak, Anthony",1000264276.0,NEW_YOR13,Slider,166.0,94.0,57.96181282221241,57.96181282221241,76.47736359911971,39.318635895405166,63.516478055284594,52.36885974417024,96.00523903077932,65.88081204977078,11.147618311114357,11.147618311114357,57.942668899727416,52.36885974417024,5.094112081866381,RHH,Right-Handed Killer,11,664,
"Bargo, Casey",1000492781.0,NEW_ENG23,Slider,29.0,27.0,73.56378699062643,73.56378699062643,75.49562614777385,39.2491665916269,74.14333873777065,63.26940087092657,99.86902423051735,95.4158480681074,10.87393786684408,10.87393786684408,68.70636980434861,63.26940087092657,5.094112081866381,RHH,Right-Handed Killer,12,663,
"Cerda, Junior",693702.0,EVA_OTT,Slider,54.0,30.0,49.41502183254881,49.41502183254881,75.8509050128147,39.79937147179193,57.34578678662858,46.53032672432175,84.47937131630648,35.036018336607725,10.815460062306826,10.815460062306826,51.938056755475166,46.53032672432175,5.094112081866381,RHH,Right-Handed Killer,13,662,
"Heredia-Bustos, Rolando",837343.0,DOW_EAS1,Slider,267.0,182.0,55.603932906464514,55.603932906464514,70.45107390582375,34.53151556184268,60.05807520627228,49.28220770307796,91.29011132940406,49.836280288146696,10.77586750319432,10.77586750319432,54.67014145467512,49.28220770307796,5.094112081866381,RHH,Right-Handed Killer,14,661,
"Helt, Robert",836007.0,LAK_ERI24,Slider,144.0,85.0,55.9576610656741,55.9576610656741,76.6485617757838,41.112685243879824,62.164931278707016,51.504168319135815,94.2370661427636,61.493123772102166,10.660762959571201,10.660762959571201,56.834549798921415,51.504168319135815,5.094112081866381,RHH,Right-Handed Killer,15,660,
"Rodriguez, Leonardo",673164.0,NEW_JER6,Four-Seam,87.0,94.0,48.81898341882994,48.81898341882994,61.63986238789904,26.341299153144814,52.66524710955066,42.0756781391244,67.19056974459725,15.062213490504256,10.589568970426264,10.589568970426264,47.370462624337534,42.0756781391244,1.4124000278825655,RHH,Right-Handed Killer,16,659,
