pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,xwoba_frontier,woba_value,whiff_pct,hardhit_pct,movement_quality_20_80,location_score_20_80
"Perez, Kelvin",692487.0,WAS_WIL3,Slider,R,45,13,0.15310642934779906,0.06126666666666667,0.3333333333333333,0.2,70.80985915492957,80.0
"Harper, Scott",1000241275.0,NEW_YOR13,Slider,R,98,20,0.1337884399077468,0.04164285714285714,0.4722222222222222,0.0,77.99295774647887,67.26230431313046
"Bargo, Casey",1000492781.0,NEW_ENG23,Slider,R,29,16,0.17540694898244336,0.0,0.1111111111111111,0.0,66.16197183098592,72.26695538340013
"Davis, Tyler",824623.0,WIN_CIT29,Four-Seam,R,33,19,0.09399700442270648,0.11296969696969696,0.08333333333333333,0.0,39.647887323943664,70.26463096482394
"Grounds, Jackson",805984.0,DOW_EAS1,Curveball,R,43,10,0.10738051528057468,0.03706976744186046,0.375,0.0,66.37323943661971,52.06681073826222
"Escobar, Anthony",678673.0,TRO_AIG,Changeup,L,79,23,0.11400230484239417,0.03148101265822785,0.34146341463414637,0.045454545454545456,60.45774647887324,57.49912063586872
"Grounds, Jackson",805984.0,DOW_EAS1,Four-Seam,R,48,27,0.20451253439307043,0.10654166666666666,0.2916666666666667,0.14285714285714285,21.901408450704224,67.15106232605598
"Carroll, Jake",1000088275.0,JOL_SLA,Slider,L,40,11,0.21724284203154778,0.057374999999999995,0.08333333333333333,0.0,75.56338028169014,46.06009456167548
"Alpern, Liam",1000137537.0,FLO_Y'A,Slider,L,38,16,0.05980120822685141,0.038526315789473686,0.0,0.0,71.86619718309859,58.77721710715897
"Ryan, Dillon",1000132418.0,NEW_ENG23,Slider,R,39,18,0.17716514583831222,0.07761538461538461,0.4,0.0,63.73239436619718,53.356292057935
"Grounds, Jackson",805984.0,DOW_EAS1,Four-Seam,L,59,27,0.10306855478312096,0.07832203389830508,0.21739130434782608,0.07692307692307693,21.901408450704224,60.89859808682978
"Grounds, Jackson",805984.0,DOW_EAS1,Curveball,L,39,10,0.100496322926745,0.07841025641025641,0.45454545454545453,0.0,66.37323943661971,42.41870278977596
"Kirby, Zach",813716.0,WAS_WIL3,Slider,R,102,32,0.16827850167882216,0.028911764705882352,0.20454545454545456,0.03125,77.88732394366197,68.95513889184417
"McEvoy, Aidan",1000079355.0,FLO_Y'A,Slider,L,51,20,0.1544330181973326,0.09,0.5,0.08333333333333333,65.8450704225352,53.08925206072458
"Smith, Jackson",1000333915.0,MIS_MUD,Slider,R,52,21,0.17659474829151925,0.034346153846153846,0.21428571428571427,0.047619047619047616,77.25352112676056,65.8777937121154
"Correa, Nelvin",673388.0,QUE_CAP,Cutter,R,28,19,0.09928432251984698,0.07342857142857143,0.42857142857142855,0.0,51.05633802816901,52.31011122134708
"Davis, Tyler",824623.0,WIN_CIT29,Four-Seam,L,43,19,0.1324792056148492,0.048906976744186044,0.35714285714285715,0.125,39.647887323943664,55.96434134216363
"Ryan, Dillon",1000132418.0,NEW_ENG23,Slider,L,54,18,0.1299758151273177,0.029518518518518517,0.30434782608695654,0.0,63.73239436619718,47.23886923892709
"Jones, Logan",814785.0,TRI_VAL,Slider,L,33,17,0.1763626552040433,0.10242424242424242,0.1875,0.1,63.20422535211267,54.275960416226994
"Harajli, Ahmad",800677.0,FLO_Y'A,Slider,R,39,17,0.071910210032071,0.041666666666666664,0.3333333333333333,0.0,69.33098591549296,61.98219249820151
"Donnan, Blake",1000557509.0,FLO_Y'A,Slider,R,52,10,0.18593542275738822,0.08623076923076924,0.5,0.1,73.2394366197183,62.72048842698457
"Webster, Evan",804248.0,FLO_Y'A,Cutter,L,70,24,0.1261458150471697,0.06764285714285714,0.25806451612903225,0.1,57.6056338028169,46.39497306360392
"Vitas, Ben",1000076969.0,JOL_SLA,Splitter,L,38,10,0.15016854682757655,0.0,0.5,0.0,45.77464788732394,45.919396067245536
"Webster, Evan",804248.0,FLO_Y'A,Slider,L,36,11,0.0768159481983343,0.01947222222222222,0.1875,0.0,67.21830985915493,53.32059988702851
"Willeman, Landon",812254.0,EVA_OTT,Changeup,L,80,38,0.1469337394210044,0.0469,0.2549019607843137,0.07142857142857142,49.26056338028169,60.16066124946938
"Maietta, Dante",1000137704.0,WIN_CIT29,Changeup,L,68,19,0.14095878506783494,0.060014705882352935,0.5151515151515151,0.0,67.32394366197182,63.50211594573612
"Cameron, Zach",1000084075.0,WIN_CIT29,Four-Seam,R,34,24,0.1479353664958131,0.06276470588235294,0.21428571428571427,0.08333333333333333,37.00704225352112,64.78856725357792
"Foster, Kobe",816330.0,WAS_WIL3,Slider,L,76,26,0.1312563552394846,0.035250000000000004,0.29411764705882354,0.09090909090909091,72.7112676056338,49.05553619448903
"Peyton, Blake",1000017005.0,GAT_GRI,Changeup,R,59,17,0.12767375372113193,0.04215254237288136,0.32142857142857145,0.0625,65.7394366197183,51.84694817857077
"Alpern, Liam",1000137537.0,FLO_Y'A,Slider,R,40,16,0.1653826535182116,0.06294999999999999,0.25,0.25,71.86619718309859,45.73840013823334
"Nakata, Yuto",1000432352.0,QUE_CAP,Slider,R,50,14,0.1500553477041235,0.03188,0.3333333333333333,0.0,70.70422535211267,62.697729599124976
"Long, Maddox",1000248716.0,WAS_WIL3,Slider,R,111,28,0.16749879344202573,0.0,0.391304347826087,0.13043478260869565,70.59859154929578,67.53451252302241
"Jones, Logan",814785.0,TRI_VAL,Slider,R,32,17,0.2080729466360403,0.02790625,0.3,0.14285714285714285,63.20422535211267,48.538679571577134
"Wehrle, Tyler",806332.0,WIN_CIT29,Four-Seam,L,75,46,0.14185240131534393,0.042506666666666665,0.4,0.07142857142857142,26.338028169014084,76.49223680708934
"Lefebvre, Charles",1000429097.0,TRO_AIG,Slider,R,53,12,0.13302927255273506,0.016849056603773584,0.35714285714285715,0.0,67.95774647887325,70.96095326243875
"Foster, Kobe",816330.0,WAS_WIL3,Four-Seam,L,88,83,0.19653867864387958,0.028261363636363637,0.18,0.10810810810810811,55.49295774647887,71.20767380398138
"Still, Stephen",1000338771.0,TRI_VAL,Sinker,R,50,18,0.24993752413051892,0.08224000000000001,0.25,0.15384615384615385,47.99295774647888,57.31598581830667
"Nova, Fraynel",805843.0,LAK_ERI24,Slider,R,100,35,0.16886602913141865,0.03572,0.34210526315789475,0.10526315789473684,72.2887323943662,80.0
"Perozzi, John",1000377762.0,SUS_COU1,Slider,R,46,19,0.19708787851157444,0.0547391304347826,0.5357142857142857,0.2,61.09154929577465,75.97586601885592
"Bargo, Casey",1000492781.0,NEW_ENG23,Slider,L,27,16,0.17938745409307685,0.033074074074074075,0.375,0.0,66.16197183098592,46.79039459803166
"Sechrist, Zander",801415.0,WAS_WIL3,Curveball,R,37,20,0.1425181772587812,0.04827027027027027,0.13636363636363635,0.07142857142857142,79.36619718309859,54.7528744244536
"Garcia, Hector",815312.0,WAS_WIL3,Splitter,L,59,13,0.1850959076781529,0.015135593220338984,0.42424242424242425,0.07692307692307693,60.88028169014084,46.64539013615478
"Webster, Evan",804248.0,FLO_Y'A,Cutter,R,29,24,0.18809176919084164,0.0,0.3333333333333333,0.0,57.6056338028169,38.18015312105749
"Sesar, Jorden",813853.0,SUS_COU1,Curveball,R,53,17,0.20995842750101537,0.04692452830188679,0.13333333333333333,0.0,79.47183098591549,57.90627676567885
"Correa, Nelvin",673388.0,QUE_CAP,Cutter,L,40,19,0.15838469893665258,0.057374999999999995,0.2608695652173913,0.08333333333333333,51.05633802816901,40.71431657009041
"Cartwright, Eli",1000304859.0,GAT_GRI,Four-Seam,L,42,30,0.17772665409365562,0.030119047619047618,0.4166666666666667,0.07692307692307693,46.40845070422535,66.4704478586304
"Harris, Ben",1000390130.0,GAT_GRI,Curveball,R,86,10,0.22570295812897082,0.016662790697674415,0.35714285714285715,0.2,71.97183098591549,53.20351409369395
"Whitesell, Max",1000223610.0,FLO_Y'A,Slider,R,77,38,0.16095926377175668,0.0821948051948052,0.2926829268292683,0.1111111111111111,64.7887323943662,75.31653478451821
"Rodriguez, Joe Joe",689487.0,NEW_JER6,Four-Seam,L,27,19,0.09626735042918914,0.025962962962962962,0.2222222222222222,0.0,25.070422535211268,60.53143554525272
"Shears, Tanner",808632.0,SCH_BOO,Four-Seam,R,67,19,0.21141333068204274,0.05517910447761194,0.2777777777777778,0.0,21.16197183098592,68.9122036141215
"Mercado, Nelson",683319.0,OTT_TIT,Four-Seam,R,42,27,0.1932439315470245,0.1448809523809524,0.16666666666666666,0.058823529411764705,38.16901408450704,71.47435170474058
"Vailes, Gage",1000050773.0,GAT_GRI,Slider,R,125,49,0.1896882977803214,0.053984,0.3793103448275862,0.0967741935483871,71.44366197183099,69.79430503128435
"Cohn, Cooper",1000301881.0,NIU_HUS,Slider,R,27,12,0.19046361559196837,0.0,0.4,0.0,77.35915492957747,75.2734177340707
"Lawson, Nathan",1000569348.0,FLO_Y'A,Sinker,L,28,15,0.12380050179695447,0.07342857142857143,0.125,0.16666666666666666,35.0,64.45805910090846
"McEvoy, Aidan",1000079355.0,FLO_Y'A,Slider,R,27,20,0.1227504616896846,0.025962962962962962,0.4,0.0,65.8450704225352,36.24206508873769
"Perez, Kelvin",692487.0,WAS_WIL3,Four-Seam,R,27,17,0.16698023289308855,0.13211111111111112,0.1111111111111111,0.125,35.84507042253521,52.06797526325341
"Maietta, Dante",1000137704.0,WIN_CIT29,Changeup,R,44,19,0.18780821123692507,0.07654545454545454,0.5,0.0,67.32394366197182,52.829391245157446
"Morin, Jacob",822351.0,QUE_CAP,Slider,R,60,20,0.17962375362996807,0.0765,0.2916666666666667,0.07142857142857142,78.09859154929578,58.256479092677054
"Duby, Bill",1000270408.0,NEW_JER6,Slider,R,38,24,0.15173270542404427,0.09007894736842105,0.09523809523809523,0.0625,68.80281690140845,71.57115664677224
"Mannering, Shawn",1000457814.0,DOW_EAS1,Sinker,R,32,15,0.20601094846302834,0.1361875,0.15384615384615385,0.08333333333333333,30.24647887323944,62.146394234719246
"Hagan, Jack",699522.0,DOW_EAS1,Slider,R,73,28,0.2937930542849532,0.083,0.2903225806451613,0.125,65.2112676056338,73.6811970861693
"Garcia, Hector",815312.0,WAS_WIL3,Slider,R,36,12,0.1785896966068122,0.024805555555555556,0.5263157894736842,0.0,77.78169014084506,74.07146871913528
"Heredia-Bustos, Rolando",837343.0,DOW_EAS1,Slider,R,181,103,0.1819012750610084,0.06467403314917126,0.2553191489361702,0.13114754098360656,75.03521126760563,68.61652167673576
"Rodriguez, Joe Joe",689487.0,NEW_JER6,Four-Seam,R,28,19,0.2814514819173454,0.13399999999999998,0.25,0.14285714285714285,25.070422535211268,54.1168726299247
"Zentko, Dylan",1000303828.0,EVA_OTT,Four-Seam,L,41,19,0.10668545299810535,0.05673170731707317,0.125,0.0,49.366197183098585,64.28267361946673
"Leak, Anthony",1000264276.0,NEW_YOR13,Slider,R,94,33,0.20114509855653398,0.04928723404255319,0.3125,0.15789473684210525,69.01408450704226,72.03200070436061
"Wiltse, Ryan",813813.0,EVA_OTT,Changeup,R,29,32,0.17909991720824955,0.08724137931034483,0.2222222222222222,0.1111111111111111,65.3169014084507,51.2333200232081
"Widener, Jacob",683179.0,SUS_COU1,Sinker,L,28,22,0.11906564464911189,0.2087857142857143,0.21428571428571427,0.1,57.07746478873239,50.055792140315255
"Dill, Austin",1000429156.0,TRI_VAL,Slider,R,60,19,0.2099642668301951,0.0893,0.2727272727272727,0.0625,73.76760563380282,68.68055375905314
"Foster, Kobe",816330.0,WAS_WIL3,Four-Seam,R,164,83,0.17721309747697325,0.031236363636363635,0.3466666666666667,0.08695652173913043,55.49295774647887,59.63563679740177
"Moreno, Jose",1000306184.0,DOW_EAS1,Changeup,L,28,12,0.16872511817232058,0.031892857142857146,0.35714285714285715,0.0,55.598591549295776,51.680038100118686
"Mannering, Shawn",1000457814.0,DOW_EAS1,Sinker,L,27,15,0.45287297324705555,0.2201851851851852,0.4,0.3333333333333333,30.24647887323944,58.910102959583625
"Zaffiro, Cole",10994263.0,SCH_BOO,Four-Seam,L,44,23,0.1509662329118939,0.06809090909090909,0.2631578947368421,0.0,32.78169014084507,60.77645206222834
"MacMillan, Blake",832350.0,TRO_AIG,Four-Seam,R,54,28,0.16442133672239465,0.016537037037037038,0.4230769230769231,0.13333333333333333,50.1056338028169,61.2038059740878
"Harris, Ben",1000390130.0,GAT_GRI,Curveball,L,52,10,0.20498186510416255,0.01348076923076923,0.42857142857142855,0.0,71.97183098591549,43.47384176623967
"Cooper, Garrett",1000327042.0,NEW_YOR13,Changeup,L,73,25,0.19072136151564645,0.10139726027397261,0.27586206896551724,0.125,63.41549295774647,59.6439538347632
"Cameron, Zach",1000084075.0,WIN_CIT29,Four-Seam,L,30,24,0.24508815179221455,0.0893,0.13333333333333333,0.25,37.00704225352112,48.52553955725926
"Rodriguez, Joe Joe",689487.0,NEW_JER6,Changeup,L,41,11,0.12797122363673222,0.038878048780487805,0.391304347826087,0.0,54.96478873239436,44.21834348259691
"Zaffiro, Cole",10994263.0,SCH_BOO,Four-Seam,R,64,23,0.17968353308513096,0.10684375,0.45454545454545453,0.08333333333333333,32.78169014084507,59.70414360601672
"Cerda, Junior",693702.0,EVA_OTT,Sinker,R,26,20,0.16102794188461145,0.0625,0.0,0.0,20.528169014084508,51.805998381230125
"Herbert, Andrew",1000083218.0,WAS_WIL3,Four-Seam,L,35,17,0.17959746716899222,0.025514285714285715,0.14285714285714285,0.0,32.359154929577464,69.59130933088365
"Colon, Jeffrey",681738.0,TRO_AIG,Sinker,R,26,17,0.08268679527460947,0.09565384615384616,0.125,0.0,25.70422535211268,53.49388244572844
"Plumadore, Carson",1000207816.0,WIN_CIT29,Sinker,R,32,24,0.2388760539906727,0.02190625,0.23076923076923078,0.1111111111111111,38.38028169014085,58.69285126403744
"Long, Jalon",809215.0,NEW_YOR13,Slider,R,62,17,0.20127244857440618,0.02040322580645161,0.3333333333333333,0.08333333333333333,56.65492957746479,55.20595225090219
"Villers, Ian",677351.0,QUE_CAP,Slider,R,52,11,0.16700522750422428,0.03065384615384615,0.5263157894736842,0.0,67.11267605633802,64.41422920032686
"Vega, Lucas",837223.0,TRO_AIG,Slider,R,51,18,0.18507919662452513,0.09437254901960784,0.3181818181818182,0.07142857142857142,78.41549295774647,65.1050896747673
"Wehrle, Tyler",806332.0,WIN_CIT29,Four-Seam,R,152,46,0.20868062969240816,0.08520394736842105,0.3157894736842105,0.09375,26.338028169014084,61.65264624272593
"Messina, Chris",10179238.0,FDU_KNI,Changeup,R,52,16,0.21161717807299005,0.10753846153846153,0.21052631578947367,0.09090909090909091,65.63380281690141,49.18213698079166
"Thompson, Ross",1000103401.0,SCH_BOO,Slider,R,111,34,0.2212229044925624,0.040225225225225224,0.35714285714285715,0.12903225806451613,69.85915492957747,70.00253402329646
